id,trigger,conditions,script,text,options,notes
flavorTextCargoPlaceholder,TradePanelFlavorText,"$global.tradePanelMode == CARGO
","AddText ""Your quartermaster coordinates records of all crew appointments, armament stores, and trade goods. These reports are kept up-to-date and made avalilable through your personal PDA."" textGrayColor",,,
flavorTextSalvagePlaceholder,TradePanelFlavorText,"$global.tradePanelMode == SALVAGE
","AddText ""Your space-ops crew, armed with laser cutters and skeletal cargo skiffs, maneuver to disabled hulks and search them for useful commodities, armaments, and valuables."" textGrayColor",,,
flavorTextAbandonedStation,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$abandonedStation == true","AddText ""The port concourse is dark and empty but for a few looted hulks. The atmosphere reads out as thin, but there is sufficient power from hardened passive collectors to run basic life support and storage functions."" textGrayColor",,,
,,,,,,
# relationship level descriptions,,,,,,
relLevelNeutral,RelationshipLevelDesc,$faction.rel == NEUTRAL,,"You're not generally well known by $faction officials, for good or ill.",,
relLevelNeutralPirates,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == pirates",,"You've been around pirates, smugglers, and other types of criminals often enough, and know how to act so they see you as one of their own.",,
relLevelFavorable,RelationshipLevelDesc,$faction.rel == FAVORABLE,,"The $faction officials tend to view you favorably, though this has little in the way of implications. At best, you might be sold some low-grade surplus military equipment, or avoid being the target of an investigation if a more convenient scapegoat is available.",,
relLevelFavorablePirates,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == pirates",,"You've been around pirates, smugglers, and other types of criminals often enough, and know how to act so they see you as one of their own.",,
relLevelWelcoming,RelationshipLevelDesc,$faction.rel == WELCOMING,,"Your name is known to some high-level officials in $theFaction. Harassing you for tolls is, therefore, a more risky endeavor for local patrol commanders.",,
relLevelWelcomingPirates,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == pirates",,"You've gained a measure of notoriety in the underworld, and know how to throw your weight around to get what you want.",,
relLevelFriendly,RelationshipLevelDesc,$faction.rel == FRIENDLY,,"You're relatively well-known within $theFaction, whether in person or by reputation. Minor functionaries know to stay out of your way.",,
relLevelFriendlyPirates,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == pirates",,You've proven useful to some of the leaders of the various criminal enterprises in the Sector. Harassing you is just more trouble than its worth.,,
relLevelCooperative,RelationshipLevelDesc,$faction.rel == COOPERATIVE,,You know some of the $faction leaders personally. You may receive trade concessions and access to high-quality ships and munitions.,,
relLevelCooperativePirates,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == pirates",,"Your exploits are legendary, and your underworld connections and influence enviable.",,
relLevelSuspicious,RelationshipLevelDesc,$faction.rel == SUSPICIOUS,,"Though nothing has been proven (yet), $faction officials tend to view you with distrust. Link access to the port authority is granted only grudgingly, and you find yourself the subject of investigations and harassment frequently.",,
relLevelSuspiciousPirates,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == pirates",,"Pirates, as a whole, only tend to view you with distrust. Incidentally, that's more than can be said for how they see fellow captains.",,
relLevelInhospitable,RelationshipLevelDesc,$faction.rel == INHOSPITABLE,,"Suspicions have risen to an actionable level. There's no shoot-on-sight authorization quite yet, but $faction ports will refuse to trade with you, and patrols seem on a mission to make your life miserable.",,
relLevelInhospitablePirates,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == pirates",,"Pirates are generally only inhospitable towards you, which means you've already made a name for yourself as someone whose interests might align with theirs.",,
relLevelHostile,RelationshipLevelDesc,$faction.rel == HOSTILE,,"$Faction commanders have authorization to engage your fleet on sight, and all markets are prohibited from trading with you. You might still recover good standing with $theFaction, but it's going to take some serious work.",,
relLevelHostilePirates,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == pirates",,"Your name is not known to pirate captains, for good or ill. Mostly ill, as they'll attack you without a second thought if the opportunity arises, although pirate bases will gladly trade with you.",,
relLevelVengeful,RelationshipLevelDesc,$faction.rel == VENGEFUL,,A holo of your face and an IDENT-hash of your last known fleet are both regular parts of inter-system security bulletins. It's fairly certain there's a high-ranking $faction officer whose primary assignment is to hunt you down.,,
relLevelVengefulPirates,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == pirates",,"You've made a name for yourself by hunting down pirates; pirate bases are no longer willing to trade with you. There's little practical difference in the attitude of pirate captains, as they were already willing to kill you given the chance.",,
,,,,,,
# customs inspection,,,,,,
ciLongRangeCommBurst,CommBurstCustomsInspection,,ShowDefaultVisual,"You receive a long-range comm burst from the $faction $otherFleetName directing your $shipOrFleet to come to and prepare for a customs inspection.

The message contains a standard legal-code attachment detailing the various penalties for evading customs agents, transporting contraband, and other related offenses.

It's as likely as not that this is nothing more than a legalized shakedown, but it has the weight of $faction authority behind it.",0:csContinue:Continue,
customsInspectionScan,BeginFleetEncounter,$doingCustomsInspection score:100,"MakeOtherFleetHostile true
MakeOtherFleetAggressive true
$ignorePlayerCommRequests = false 0
$customsInspectionStage = 0 4",You're being hailed by the $faction $otherShipOrFleet.,,
customsInspectionConvStart,OpenCommLink,"$doingCustomsInspection score:100
$customsInspectionStage == 0","SetTooltip ciAgree ""The scan will compute the value of your fleets and the goods it's carrying, and a toll will be assessed.\n\nIf your $shipOrFleet is carrying illegal goods, there's a chance these will be detected. The chance is lower if you're also carrying legal goods, and if your relationship with the faction is positive. If contraband is detected, it will be confiscated, and a fine will be assessed.""","$PersonRank $personName looks up from $hisOrHer console briefly. ""Stand by while we scan your cargo. We'll continue this conversation once the scan is complete.""","0:ciAgree:Allow the scan to proceed
1:ciDisagree:""I don't think so.""",
customsInspectionAgree,DialogOptionSelected,"$doingCustomsInspection score:100
$option == ciAgree score:100","Wait $global.ciWait 0.5 $global.ciFinished $global.ciInterrupted $global.ciInProgress ""Scanning...""
MakePlayerImmediatelyAttackable
GiveOtherFleetAssignment HOLD 3 ""performing customs inspection""
$customsInspectionStage = 1 4",,,
customsInspectionDisagree,DialogOptionSelected,"$doingCustomsInspection score:100
$option == ciDisagree","AdjustRep $faction.id CUSTOMS_REFUSED_TOLL
$ignorePlayerCommRequests = true 1
#MakeNearbyFleetsHostile $faction.id 2000 10
EndConversation","""Oh? That's something you're going to regret.""

The comm link is cut before you have a chance to respond.",,
customsInspectionWaitFinished,BeginFleetEncounter,"$doingCustomsInspection score:100
$global.ciFinished","MakeOtherFleetHostile true
MakeOtherFleetAggressive true
CustomsInspectionGenerateResult
TakeRepCheck $faction.id $repCheckResult
OpenComms","After a long wait, your terminal chimes softly and displays the scan results transmitted by the $faction $otherFleetName.",,
customsInspectionAddContinue,OpenCommLink,"$doingCustomsInspection score:100
$customsInspectionStage == 1",$customsInspectionStage = 3 0,,0:ciResultContinue:Continue,
customsInspectionContinueFromResult,DialogOptionSelected,"
$option == ciResultContinue","CustomsInspectionApplyRepLoss
FireBest InspectionResultResponse",,,
customsInspectionResultToll,InspectionResultResponse,"$doingCustomsInspection score:100
$inspectionResultType == TOLL","SetTextHighlights $tollAmount
FireAll CustomsInspectionPayOptions","$PersonRank $personName looks up from $hisOrHer console. ""Looks like everything checks out. The toll and inspection fees come to a total of $tollAmount credits.""",,
customsInspectionResultTollFine,InspectionResultResponse,"$doingCustomsInspection score:100
$inspectionResultType == TOLL_AND_FINE","SetTextHighlights $tollAmount
FireAll CustomsInspectionPayOptions","$PersonRank $personName looks pleased. ""Well, well. Look what we have here! We'll be confiscating all the contraband, of course. The toll, inspection fees, and the fine for posession of illegal goods with intent to sell come to a total of $tollAmount credits.""",,
customsInspectionResultTollFineHostile,InspectionResultResponse,"$doingCustomsInspection score:100
$inspectionResultType == TOLL_AND_FINE
RepIsAtBest $faction.id HOSTILE score:100",FireBest CustomsInspectionEndHostile,"$personName looks at the report, looks at you, looks at the report again, and cuts off the comm link without saying a word. Your scanners detect the signatures of weapons powering up.",,
# customs inspection -payment options,,,,,,
customsInspectionPayToll,CustomsInspectionPayOptions,"$doingCustomsInspection score:100
$inspectionResultType == TOLL
$playerCanAffordPayment",,,0:payCIToll:Pay the toll ($tollAmount credits),
customsInspectionPayTollAndFine,CustomsInspectionPayOptions,"$doingCustomsInspection score:100
$inspectionResultType == TOLL_AND_FINE
$playerCanAffordPayment",,,0:payCIFine:Surrender illegal goods; pay the toll and fine ($tollAmount credits),
customsInspectionCantAffordToll,CustomsInspectionPayOptions,"$doingCustomsInspection score:100
$inspectionResultType == TOLL
!$playerCanAffordPayment",,,0:cantAffordToll:Explain that you can't afford to pay,
customsInspectionCantAffordFine,CustomsInspectionPayOptions,"$doingCustomsInspection score:100
$inspectionResultType == TOLL_AND_FINE
!$playerCanAffordPayment",,,0:cantAffordFine:Explain that you can't afford to pay,
customsInspectionRefuseToll,CustomsInspectionPayOptions,"$doingCustomsInspection score:100
$inspectionResultType == TOLL",,,10:refuseCIToll:Refuse to pay,
customsInspectionRefuseFine,CustomsInspectionPayOptions,"$doingCustomsInspection score:100
$inspectionResultType == TOLL_AND_FINE",,,10:refuseCIFine:Refuse to cooperate,
# customs inspection - payment option effects,,,,,,
optionPayCIToll,DialogOptionSelected,$option == payCIToll,"CustomsInspectionApplyResult
AdjustRep $faction.id CUSTOMS_PAID
FireBest CustomsInspectionEndPeaceful","""Thank you for your cooperation."" $personRank $personName nods and cuts the comm link.",,
optionPayCIFine,DialogOptionSelected,$option == payCIFine,"CustomsInspectionApplyResult
AdjustRep $faction.id CUSTOMS_PAID
FireBest CustomsInspectionEndPeaceful","""Thank you for your cooperation. It will be noted in your file."" $personRank $personName nods and cuts the comm link.",,
optionRefuseCITollPassRep,DialogOptionSelected,"$option == refuseCIToll
$repCheckResult > 0.2
RepIsAtWorst $faction.id FAVORABLE","AdjustRep $faction.id CUSTOMS_REFUSED_TOLL
FireBest CustomsInspectionEndPeaceful","$personName glares at you, but, for whatever reason, doesn't press the issue. After a couple of seconds of silence, you cut the comm link.",,
optionRefuseCIToll,DialogOptionSelected,$option == refuseCIToll,"AdjustRep $faction.id CUSTOMS_REFUSED_TOLL
FireBest CustomsInspectionEndHostile","""That's something you're going to regret.""

The comm link is cut before you have a chance to respond.",,
optionRefuseCIFinePassRep,DialogOptionSelected,"$option == refuseCIFine
$repCheckResult > 0.6
RepIsAtWorst $faction.id FAVORABLE","AdjustRep $faction.id CUSTOMS_REFUSED_FINE
FireBest CustomsInspectionEndPeaceful","$personName looks at you carefully, and, for whatever reason, doesn't press the issue. After a couple of seconds of silence, you cut the comm link.",,
optionRefuseCIFine,DialogOptionSelected,$option == refuseCIFine,"AdjustRep $faction.id CUSTOMS_REFUSED_FINE
FireBest CustomsInspectionEndHostile","""That's something you're going to regret very, very much.""

The comm link is cut before you have a chance to respond.",,
optionCantAffordToll,DialogOptionSelected,$option == cantAffordToll,"AdjustRep $faction.id CUSTOMS_COULD_NOT_AFFORD
FireBest CustomsInspectionEndPeaceful","""That's very unfortunate. Your failure to pay will be noted in your file.""",,
optionCantAffordFine,DialogOptionSelected,$option == cantAffordFine,AdjustRep $faction.id CUSTOMS_COULD_NOT_AFFORD,"""That's very unfortunate. I'm certain you're still planning on promptly surrendering the contraband, correct?""","0:payCIFine:""Yes, of course.""
1:refuseCIFine:""I don't think so.""",
,,,,,,
,,,,,,
,,,,,,
# customs inspection - ending the conversation,,,,,,
customsInspectionEndingPeaceful,CustomsInspectionEndPeaceful,,"unset $doingCustomsInspection
MakeOtherFleetHostile false
MakeOtherFleetAggressive false
EndConversation",,,
customsInspectionEndingHostile,CustomsInspectionEndHostile,,"unset $doingCustomsInspection
$ignorePlayerCommRequests = true 1
EndConversation",,,
,,,,,,
# no trading w/ same faction market while customs inspection is in progress,,,,,,
marketPostOpenCustomsInProgress,MarketPostOpen,"$hasMarket
$global.customsInspectionFactionId == $faction.id score:100","SetShortcut marketLeave ""ESCAPE""",The port authority refuses your $shipOrFleet docking clearance until the customs inspection is resolved. Making contact with any underground parties willing to trade is also impossible due to the patrol breathing down your neck.,10:marketLeave:Leave,
#marketPostOpenRecentlyEvaded,MarketPostOpen,$hasMarket,"SetShortcut marketLeave ""ESCAPE""","The port authority refuses your $shipOrFleet docking clearance until the customs inspection is resolved. 

Making contact with any underground parties willing to trade is also impossible due to the commotion created by your recent evasion of a customs inspection. Things should settle down after a couple of days.",10:marketLeave:Leave,
,,,,,,
# new game career choices,,,,,,
onNewGameCreationStart,BeginNewGameCreation,,"NGCAddCredits 2000
AddText ""Added 2000 credits"" textFriendColor
FireAll InitNewGameChoices",,,
initNewGameChoicesDev,InitNewGameChoices,$global.isDevMode,,,100:ngcDevStart:>>(dev) quick start,
initNewGameChoices,InitNewGameChoices,,,"Over the last cycle, you've been making your living as...","ngcTrader:An honest trader
ngcSmuggler:A smuggler
ngcBountyHunter:A bounty hunter",
ngcDevStartOption,NewGameOptionSelected,$option == ngcDevStart,"NGCAddShip ""tempest_Starting""
NGCAddCargo RESOURCES elite_crew 20
NGCAddCargo RESOURCES supplies 20
NGCAddCargo RESOURCES fuel 20
NGCAddCredits 1000000
NGCSetAptitude technology 10
NGCSetSkill gunnery_implants 10
NGCSetSkill navigation 10
NGCSetAptitude combat 10
NGCAddSkillPoints 100
NGCAddAptitudePoints 10
NGCSetStartingLocation Corvus -2700 3250
NGCDone",,,
ngcTraderOption,NewGameOptionSelected,$option == ngcTrader,"$career = ""trader""
NGCAddShip ""cerberus_Starting""
AddText ""Added Cerberus-class frigate"" textFriendColor
NGCAddCargo RESOURCES regular_crew 30
NGCAddCargo RESOURCES supplies 20
AddText ""Added 30 crew"" textFriendColor
AddText ""Added 20 supplies"" textFriendColor
NGCAddCargo RESOURCES fuel 20
AddText ""Added 20 fuel"" textFriendColor
FireBest NGCStep2",,,
ngcSmugglerOption,NewGameOptionSelected,$option == ngcSmuggler,"$career = ""smuggler""
NGCAddShip ""hound_Starting""
AddText ""Added Hound-class frigate"" textFriendColor
NGCAddCargo RESOURCES regular_crew 15
NGCAddCargo RESOURCES supplies 20
AddText ""Added 15 crew"" textFriendColor
AddText ""Added 20 supplies"" textFriendColor
NGCAddCargo RESOURCES fuel 20
AddText ""Added 20 fuel"" textFriendColor
FireBest NGCStep2",,,
ngcBountyHunterOption,NewGameOptionSelected,$option == ngcBountyHunter,"$career = ""bounty_hunter""
NGCAddShip ""wolf_Starting""
AddText ""Added Wolf-class frigate"" textFriendColor
NGCAddCargo RESOURCES regular_crew 20
NGCAddCargo RESOURCES supplies 20
AddText ""Added 20 crew"" textFriendColor
AddText ""Added 20 supplies"" textFriendColor
NGCAddCargo RESOURCES fuel 20
AddText ""Added 20 fuel"" textFriendColor
FireBest NGCStep2",,,
# new game step 2 options,,,,,,
ngcRecentEvents,NGCStep2,,FireAll NGCStep2Options,"More recently, you've...",,
ngcRecentEventsOptionsMoneyT,NGCStep2Options,"$career == ""trader""",,,0:ngcMoneyT:Finished a lucrative trading run,
ngcRecentEventsOptionsMoneyS,NGCStep2Options,"$career == ""smuggler""",,,0:ngcMoneyS:Finished a lucrative smuggling run,
ngcRecentEventsOptionsMoneyB,NGCStep2Options,"$career == ""bounty_hunter""",,,0:ngcMoneyB:Collected a sizeable bounty,
ngcRecentEventsOptionsGoodsT,NGCStep2Options,"$career == ""trader""",,,10:ngcGoodsT:Purchased some high-value cargo,
ngcRecentEventsOptionsGoodsS,NGCStep2Options,"$career == ""smuggler""",,,10:ngcGoodsS:Got your hands some high-value cargo,
ngcRecentEventsOptionsWeaponsS,NGCStep2Options,"$career == ""smuggler""",,,20:ngcWeaponsS:Acquired some high-end weaponry,
ngcRecentEventsOptionsWeaponsB,NGCStep2Options,"$career == ""bounty_hunter""",,,20:ngcWeaponsB:Acquired some high-end weaponry,
ngcRecentEventsOptionsCrew,NGCStep2Options,"$career == ""bounty_hunter""",,,30:ngcCrewB:Took on some experienced crew,
ngcRecentEventsOptionsShuttle,NGCStep2Options,"$career == ""trader""",,,30:ngcShuttleT:Acquired a small shuttle,
,,,,,,
# new game step 2 option results,,,,,,
ngcMoneyTOption,NewGameOptionSelected,$option == ngcMoneyT,"NGCAddCredits 4000
AddText ""Added 4000 credits"" textFriendColor
FireBest NGCStep3",,,
ngcMoneySOption,NewGameOptionSelected,$option == ngcMoneyS,"NGCAddCredits 4000
AddText ""Added 4000 credits"" textFriendColor
FireBest NGCStep3",,,
ngcMoneyBOption,NewGameOptionSelected,$option == ngcMoneyB,"NGCAddCredits 4000
AddText ""Added 4000 credits"" textFriendColor
FireBest NGCStep3",,,
ngcGoodsTOption,NewGameOptionSelected,$option == ngcGoodsT,"NGCAddCargo RESOURCES ""lobster"" 30
AddText ""Added 30x Volturnian Lobster"" textFriendColor
FireBest NGCStep3",,,
ngcGoodsSOption,NewGameOptionSelected,$option == ngcGoodsS,"NGCAddCargo RESOURCES ""drugs"" 15
AddText ""Added 15 Recreational Drugs"" textFriendColor
FireBest NGCStep3",,,
ngcWeaponsSOption,NewGameOptionSelected,$option == ngcWeaponsS,"NGCAddCargo WEAPONS ""heavymauler"" 1
AddText ""Added 1x Heavy Mauler"" textFriendColor
FireBest NGCStep3",,,
ngcWeaponsBOption,NewGameOptionSelected,$option == ngcWeaponsB,"NGCAddCargo WEAPONS ""heavyblaster"" 1
AddText ""Added 1x Heavy Blaster"" textFriendColor
FireBest NGCStep3",,,
ngcCrewBOption,NewGameOptionSelected,$option == ngcCrewB,"NGCRemoveCargo RESOURCES ""regular_crew"" 1000
NGCAddCargo RESOURCES ""veteran_crew"" 20
AddText ""Upgraded crew to veteran"" textFriendColor
FireBest NGCStep3",,,
ngcShuttleTOption,NewGameOptionSelected,$option == ngcShuttleT,"NGCAddShip ""hermes_Standard""
AddText ""Added Hermes-class shuttle"" textFriendColor
FireBest NGCStep3",,,
ngcDifficultyOptions,NGCStep3,,,"All in all, your luck has been...","ngcEasy:Better than one might expect (easier start)
ngcNormal:About average (normal start)",
ngcEasyOptionT,NewGameOptionSelected,"$option == ngcEasy
$career == trader","NGCAddShip ""tarsus_Standard""
AddText ""Added Tarsus-class freighter"" textFriendColor
NGCAddCargo RESOURCES regular_crew 35
NGCAddCargo RESOURCES supplies 20
AddText ""Added 35 crew"" textFriendColor
AddText ""Added 20 supplies"" textFriendColor
NGCAddCargo RESOURCES fuel 20
AddText ""Added 20 fuel"" textFriendColor
NGCAddCredits 10000
AddText ""Added 10000 credits"" textFriendColor
FireBest NGCStep4",,,
ngcEasyOptionS,NewGameOptionSelected,"$option == ngcEasy
$career == smuggler","NGCAddShip ""mule_Starting""
AddText ""Added Mule-class combat freighter"" textFriendColor
NGCAddCargo RESOURCES regular_crew 50
NGCAddCargo RESOURCES supplies 20
AddText ""Added 50 crew"" textFriendColor
AddText ""Added 20 supplies"" textFriendColor
NGCAddCargo RESOURCES fuel 20
AddText ""Added 20 fuel"" textFriendColor
NGCAddCredits 10000
AddText ""Added 10000 credits"" textFriendColor
FireBest NGCStep4",,,
ngcEasyOptionB,NewGameOptionSelected,"$option == ngcEasy
$career == bounty_hunter","NGCAddShip ""hammerhead_Balanced""
AddText ""Added Hammerhead-class destroyer"" textFriendColor
NGCAddCargo RESOURCES regular_crew 75
NGCAddCargo RESOURCES supplies 20
AddText ""Added 75 crew"" textFriendColor
AddText ""Added 20 supplies"" textFriendColor
NGCAddCargo RESOURCES fuel 20
AddText ""Added 20 fuel"" textFriendColor
NGCAddCredits 10000
AddText ""Added 10000 credits"" textFriendColor
FireBest NGCStep4",,,
ngcNormalOption,NewGameOptionSelected,$option == ngcNormal,FireBest NGCStep4,,,
ngcSkillOptions,NGCStep4,,,The skills you've acquired over the last cycle were...,"ngcAuto:Driven by your needs at the time (automatic assignment)
ngcManual:Learned with some thought towards the future (manual assignment)",
ngcAutoOptionT,NewGameOptionSelected,"$option == ngcAuto
$career == trader","NGCSetAptitude technology 2
NGCSetSkill mechanical_engineering 2
NGCSetSkill navigation 2
AddText ""Set Technology aptitude to 2"" textFriendColor
AddText ""Set Navigation to 2"" textFriendColor
AddText ""Set Mechanical Engineering to 2"" textFriendColor",,ngcDone:Continue,
ngcAutoOptionS,NewGameOptionSelected,"$option == ngcAuto
$career == smuggler","NGCSetAptitude technology 2
NGCSetSkill mechanical_engineering 2
NGCSetSkill navigation 2
AddText ""Set Technology aptitude to 2"" textFriendColor
AddText ""Set Navigation to 2"" textFriendColor
AddText ""Set Mechanical Engineering to 2"" textFriendColor",,ngcDone:Continue,
ngcAutoOptionB,NewGameOptionSelected,"$option == ngcAuto
$career == bounty_hunter","NGCSetAptitude combat 2
NGCSetSkill ordnance_expert 2
NGCSetSkill helmsmanship 2
AddText ""Set Combat aptitude to 2"" textFriendColor
AddText ""Set Ordnance Expertise to 2"" textFriendColor
AddText ""Set Helmsmanship to 2"" textFriendColor",,ngcDone:Continue,
ngcManualOption,NewGameOptionSelected,$option == ngcManual,"NGCAddAptitudePoints 2
NGCAddSkillPoints 4
AddText ""Added 2 aptitude and 4 skill points"" textFriendColor",,ngcDone:Continue,
ngcDoneOption,NewGameOptionSelected,$option == ngcDone,"NGCSetStartingLocation Corvus -2700 3250
NGCDone",,,
